gs-spring-cloud-loadbalancer;;https://github.com/spring-guides/gs-spring-cloud-loadbalancer
gs-spring-cloud-stream;;https://github.com/spring-guides/gs-spring-cloud-stream
gs-spring-data-reactive-redis;;https://github.com/spring-guides/gs-spring-data-reactive-redis
gs-tanzu-observability;;https://github.com/spring-guides/gs-tanzu-observability
gs-testing-restdocs;;https://github.com/spring-guides/gs-testing-restdocs
gs-testing-web;;https://github.com/spring-guides/gs-testing-web
gs-uploading-files;;https://github.com/spring-guides/gs-uploading-files
gs-validating-form-input;;https://github.com/spring-guides/gs-validating-form-input
gs-vault-config;;https://github.com/spring-guides/gs-vault-config
integration-sample-lambda-msk;;https://github.com/aws-samples/integration-sample-lambda-msk
java-native-telemetry;;https://github.com/Azure-Samples/java-native-telemetry
MipSDK-File-Java-Basic;;https://github.com/Azure-Samples/MipSDK-File-Java-Basic
ms-identity-android-java;;https://github.com/Azure-Samples/ms-identity-android-java
ms-identity-android-kotlin;;https://github.com/Azure-Samples/ms-identity-android-kotlin
ms-identity-ciam-browser-delegated-android-sample;;https://github.com/Azure-Samples/ms-identity-ciam-browser-delegated-android-sample
ms-identity-ciam-native-auth-android-sample;;https://github.com/Azure-Samples/ms-identity-ciam-native-auth-android-sample
ms-identity-docs-code-java;;https://github.com/Azure-Samples/ms-identity-docs-code-java
msk-config-providers;;https://github.com/aws-samples/msk-config-providers
open-liberty-on-aks;;https://github.com/Azure-Samples/open-liberty-on-aks
pubsub-dapr-aks-java;;https://github.com/Azure-Samples/pubsub-dapr-aks-java
quarkus-azure;;https://github.com/Azure-Samples/quarkus-azure
reactive-refarch-cloudformation;;https://github.com/aws-samples/reactive-refarch-cloudformation
sc-contract-car-rental;;https://github.com/spring-cloud-samples/sc-contract-car-rental
serverless-java-frameworks-samples;;https://github.com/aws-samples/serverless-java-frameworks-samples
sleuth-documentation-apps;;https://github.com/spring-cloud-samples/sleuth-documentation-apps
sleuth-issues;;https://github.com/spring-cloud-samples/sleuth-issues
spring-chatgpt-sample;;https://github.com/Azure-Samples/spring-chatgpt-sample
the-legacy-app;;https://github.com/spring-cloud-samples/the-legacy-app
tut-rest;;https://github.com/spring-guides/tut-rest
tut-spring-boot-kotlin;;https://github.com/spring-guides/tut-spring-boot-kotlin
workshop-migrate-jboss-on-app-service;;https://github.com/Azure-Samples/workshop-migrate-jboss-on-app-service
